Name,Age,Investment_Amount,Tenure,Risk_Tolerance,Investment_Type,Return_Amount,Return_Percentage
Mr. Robert Delgado,22,216744,15,Low,FD,8665409609.71,102.67
Thomas Smith,53,248067,2,Low,FD,356680.86,19.91
Jacqueline Mccullough,18,158740,21,High,Stocks,882848097628271.6,191.11
Eugene Bryan,22,434080,29,Moderate,Gold,1.3001092796080158e+16,129.75
Kenneth Woods,35,298289,25,Low,Stocks,2620020798363.59,89.56
Karen Ward,42,807593,14,Low,Equity,15072923961.05,101.87
Richard Fuller,28,935171,13,High,Gold,1735849687072.81,203.53
Nicole Brown,30,833963,20,Low,Stocks,722497408573.17,98.1
Kimberly Williams,49,246220,18,Moderate,Equity,674004540471.72,127.84
Christina Randall,19,54684,24,High,Stocks,8.709388068368114e+16,222.42
Jason Phillips,19,732440,25,Moderate,Stocks,747227468379712.0,129.27
Edward Bauer,34,622143,16,Moderate,Equity,727625727046.16,139.47
John Mcgee,61,872552,16,Low,Equity,46344016594.16,97.39
Mark Lopez,61,403070,2,Low,Equity,493852.49,10.69
Jeffrey Pena,52,658840,1,Low,FD,711613.08,8.01
Michael Brown,57,879481,11,High,Equity,25426711338.1,154.42
Paul Baker,61,612806,21,Low,FD,1051712401777.99,98.1
Tiffany Cook,39,739923,20,High,Equity,1.9339817707884776e+16,231.79
Anne French,55,293967,15,Moderate,FD,223894583708.48,146.67
Mrs. Loretta Gardner DVM,36,325437,13,Moderate,Stocks,11606008718.43,123.96
Wendy Smith,46,153762,29,High,Stocks,8.120514003130083e+19,221.87
Angela Dyer,46,763444,4,Moderate,Gold,1783498.15,23.63
Michael Long,26,470979,1,High,FD,774619.16,64.47
Logan Calhoun,22,861011,24,Low,Equity,11212636958688.63,97.9
Charles Cox,36,251641,19,High,Stocks,233120620108861.72,196.44
Monique Pineda,50,892008,30,Low,Equity,2707857428299612.0,107.05
Jessica Robertson,35,147878,20,Low,Equity,47944339090.07,88.6
Mark Wu,57,757631,19,Low,Equity,515855491906.59,102.77
William Perez,62,503054,3,High,Gold,2792862.59,77.07
Keith Gilbert,43,118958,9,Low,Gold,4210677.25,48.63
Richard Frey,28,214242,4,Low,Stocks,451253.16,20.47
Caleb Hill,35,943786,19,Moderate,FD,3722249006718.09,122.41
Michael Graham,31,607734,9,Moderate,FD,677761423.21,118.07
William Johnson MD,20,806501,1,Moderate,Stocks,1245237.54,54.4
Lauren Russo,63,562363,2,Moderate,Stocks,762991.08,16.48
Pamela Khan,37,288714,28,High,Gold,7.845504738155181e+18,201.85
Tiffany Cole,45,361718,2,High,Stocks,1160794.28,79.14
Thomas Morris,41,907827,18,High,FD,125920628976292.34,183.36
Ronald Levine,20,689559,21,Moderate,Equity,29196969918503.82,130.77
Jonathan Green,55,947017,30,High,Stocks,7.095947222994825e+20,213.2
Felicia Parker,63,142363,10,Low,Gold,19127710.6,63.24
Heather Watson,40,174124,17,Moderate,Gold,146670930660.96,123.13
Cynthia Wells,65,458356,1,High,FD,749549.57,63.53
Jerry Smith,59,640252,14,Low,Equity,10825196588.2,100.45
William Smith,27,115872,8,Moderate,Equity,17105392.61,86.7
Thomas Anderson,43,559773,12,Moderate,Stocks,7334467780.32,120.35
Anthony Campbell,30,438111,22,High,FD,5.051145097040341e+16,218.28
Joshua Scott,27,840062,29,High,Stocks,2.895891615917873e+20,217.17
Meghan Heath,23,405547,15,Moderate,Equity,72107374379.2,123.87
Kim Anderson,47,743408,13,High,Stocks,1697841315894.85,208.41
Dalton Simon,40,109350,5,Low,FD,518181.67,36.5
Ryan Kelly,44,388652,29,Moderate,FD,3750481935371057.0,120.95
Stacey Perry,38,476955,6,Low,FD,5707913.96,51.24
Christopher Bartlett,51,813194,25,Moderate,Equity,2129447867442437.2,138.08
Alicia Mathews,22,544227,4,Low,Stocks,999061.0,16.4
Jon Willis,37,216350,26,Low,Stocks,8643605000581.5,96.05
Christine Douglas,20,507945,9,Moderate,FD,137054429.83,86.26
Mr. Nicholas Anderson,29,897907,25,High,Gold,6.655823968214145e+17,198.4
Donna Werner,41,598967,22,Low,FD,613784519134.9,87.59
Andrew Oneal,51,193508,6,Low,Equity,2187478.27,49.81
Mary Pierce,23,940080,28,Moderate,Gold,3912597945382420.0,120.57
Juan Sandoval,48,349456,10,Low,Equity,50551177.91,64.45
Marie Ward,48,435063,6,Moderate,Equity,27371278.64,99.43
Adrian Gonzalez,40,868400,17,High,Gold,69321376565462.02,191.63
Donna Miller,61,943069,21,Low,FD,504883808497.63,87.41
James King,57,864792,24,Moderate,Equity,405463201540385.4,129.77
Kevin Wilson,34,165919,30,Moderate,FD,4500467538359782.5,122.73
Dana Duke,55,244180,11,Low,Equity,235969395.64,86.8
Jesse Hall,25,773941,16,Low,Gold,47723510582.78,99.24
Jessica Smith,48,370551,27,High,Equity,6.94411626567519e+19,237.77
Megan Johnson,63,845427,6,Moderate,FD,51374732.66,98.28
John Johnson,65,837262,4,Moderate,Equity,2232795.05,27.79
Terry Mendoza,19,132111,28,Moderate,Gold,2982380565528320.0,134.3
Brenda Nelson,20,567774,11,High,FD,272116954596.74,228.41
Eric Proctor,48,690117,19,Moderate,FD,24169250056137.26,149.5
Kevin Smith,18,135844,21,High,Stocks,806686873838984.1,192.02
Allen Simon,19,586881,29,Moderate,FD,1.2765988105449212e+16,127.23
Kirsten Steele,59,188984,10,Low,Stocks,9407261.29,47.81
Robert Smith,40,382383,21,Low,Equity,275831118512.02,90.09
Joseph Brewer,64,161501,3,High,Equity,889351.69,76.59
Mr. Kevin Mendez,51,753456,4,Low,FD,1861962.62,25.38
Spencer Harris,29,939348,21,Moderate,Gold,55199643042616.59,134.4
Donna Herrera,39,486345,11,Low,Gold,743775519.5,94.76
Brent Pineda,38,330597,1,Low,Gold,447496.1,35.36
Bradley Burgess,20,123099,19,High,Gold,307736519931264.5,212.34
Angela Lowe,20,152461,11,Low,FD,205301984.35,92.52
Mary Braun,27,474713,18,Low,Stocks,239117705039.86,107.39
Edward Galloway,35,330328,15,Moderate,Stocks,136960801432.28,136.87
Molly Wagner,59,529753,24,Low,Equity,2184159404129.14,88.64
Michelle Miller,23,318411,7,Low,Stocks,18770193.27,79.03
Dana Davis,59,327789,29,Moderate,FD,3.257052622791435e+16,139.45
Dana Miller,39,549747,24,High,Gold,4.4551925803562266e+17,213.47
Anna Goodman,56,262107,20,Moderate,Stocks,10624825861520.71,140.1
Diane Johnson,54,327832,29,Low,Gold,195335034737506.78,100.72
Carl Hall,51,829963,8,High,FD,614434238.18,128.39
Melanie Murray,47,831631,3,Moderate,Gold,2367140.85,41.72
Christopher Mitchell,45,807400,2,Moderate,Equity,1444362.91,33.75
Christian Ballard,44,735904,11,Moderate,FD,12025313128.47,141.56
Courtney Boyd,51,262257,3,High,Equity,615882.82,32.92
Mark Martin,56,85488,27,Low,Gold,8293654648559.72,97.61
Julia Cantrell,43,789473,18,High,Gold,32327023183187.74,164.79
Michelle Duke,31,650348,12,High,FD,234037047587.66,190.41
Daniel Graham,57,77264,12,Low,FD,471328180.44,106.75
Karen Lee,18,70937,27,High,FD,1.2660054411410877e+17,184.29
Thomas Sanchez,55,881827,14,Low,Stocks,13852735681.16,99.4
Rachel Webb,36,455374,13,Low,Gold,988009237.57,80.57
Mrs. Veronica Stokes,42,335491,7,High,Equity,159616630.46,141.26
Michael Peterson,35,697565,15,Moderate,Stocks,296076141514.17,137.24
Jeffrey Edwards,38,505758,19,Low,Equity,154284656914.55,94.38
Lori Flores,50,531316,15,Low,Stocks,5362984747.25,84.9
Jessica Ponce,29,785338,2,High,Gold,2535456.07,79.68
Jennifer Olson,45,486354,19,High,Gold,76252266872733.23,169.98
Adam Williams,59,913102,12,High,Stocks,286602937899.29,187.12
Denise Jensen,21,921416,21,Moderate,Equity,44137979513561.56,132.13
Laura Collins,47,336861,14,Moderate,FD,30095993422.97,125.76
John Stewart,57,782361,26,High,FD,1.4942543247301896e+18,196.72
Shane Meyer,37,211849,18,Moderate,Gold,348092543271.28,121.47
Jennifer Hoover,44,602438,13,High,FD,1366634772113.3,208.25
Ryan Santiago,25,470613,12,Moderate,Gold,23204901924.6,146.08
Chelsey Lewis,61,572492,5,High,Stocks,1170129.38,15.37
Cynthia Rogers,27,241496,18,Low,Stocks,59060235042.49,99.23
Rachel Porter PhD,38,156490,30,High,Equity,4.6168399813685595e+20,227.84
Craig Wyatt,65,725550,7,High,FD,93000496.6,100.04
Austin Newman,34,650904,23,Low,Equity,6454461602899.45,101.46
Paul Flores,31,574175,26,Moderate,FD,1.1214823404899466e+16,148.77
Jennifer Smith,45,819527,25,Moderate,Gold,5835738425514533.0,147.8
Tara Lawrence,44,683625,11,Low,Equity,521289151.61,82.82
Thomas White,24,793295,5,High,FD,6886921.45,54.07
Kyle Graham,60,810067,12,Moderate,Gold,13427332311.48,124.71
Linda Wallace,24,888472,11,Moderate,Gold,6304715381.95,123.92
Randy Malone,56,373630,7,Moderate,Stocks,82602647.81,116.24
Mallory Butler,42,901194,25,Low,Gold,2425375270284.33,80.8
Robert Cantu,47,137706,9,Low,Gold,22984045.66,76.58
Nicole Dudley,29,115387,27,High,Gold,3.297306069895749e+17,189.29
John Bonilla,28,399670,22,Low,Gold,467952991990.01,88.73
Fred Hernandez,58,132519,7,High,Stocks,53189662.74,135.47
Jessica Curtis,25,952020,16,Moderate,FD,2026114856420.52,148.6
Cathy Walker,34,164981,15,High,Equity,952334140425.48,182.33
Michael Lee,26,523598,20,Low,Stocks,137308124930.32,86.61
Daryl Garrett,25,182231,7,Moderate,FD,26959675.14,104.18
Joseph Blackburn,60,928626,28,High,Equity,9.872586831976533e+19,216.92
Tanya Mccormick,63,824025,16,High,FD,22456864575567.72,191.55
Carla Nelson,51,876709,19,Low,Stocks,690503731630.38,104.33
Sean Humphrey,47,288874,8,High,Gold,312822268.52,139.51
Christopher Harrison,27,171154,21,Low,Stocks,597941015496.12,104.92
Tara Marquez,42,198929,25,Moderate,FD,656965206575584.1,140.3
Danny Howard,42,501473,24,Moderate,Stocks,1082121033770277.8,144.86
Thomas Collins,62,28822,26,Moderate,FD,37823416395961.59,124.23
Jennifer Hampton,42,784357,20,Low,Stocks,1011533897510.29,102.08
Haley Crawford,64,408544,8,Moderate,Equity,131105178.27,105.73
Samuel Gilbert,23,557668,27,Low,Gold,126747945577658.81,103.94
Robert Cameron,40,29967,10,Moderate,FD,5193914.39,67.45
Jeremy Franklin,24,437816,28,Low,FD,95727368393779.02,98.54
Chelsea Hudson,37,16165,21,Moderate,FD,596306795329.38,129.26
Timothy Davis,53,913458,20,Low,Stocks,2481578247748.48,109.75
Courtney Gilbert,35,59349,28,Low,Equity,991911377898.4,81.12
Matthew Cochran,36,634754,10,Moderate,Stocks,1374313201.27,115.55
Natalie Liu,61,24323,6,Low,Equity,381724.56,58.23
Elizabeth Tucker,36,546933,25,High,FD,9.508418418909298e+17,208.75
Matthew Schneider,26,813640,1,Low,Equity,1065054.76,30.9
Jessica Day,25,914983,16,Moderate,Equity,817857158632.02,135.48
Pamela Jackson,50,986203,8,Low,FD,60524867.45,67.3
Andrew Collins Jr.,62,889960,10,Low,Gold,59013062.18,52.11
Kristin Evans,35,564621,8,High,Gold,33556957.77,66.63
Joann Mcknight,53,562163,12,Low,Equity,981424757.41,86.28
Victor George,35,115643,24,Low,Stocks,2414218838885.43,101.83
Kristen Brewer,54,63388,7,High,Stocks,12480631.14,112.69
Luke Suarez,56,429279,5,Moderate,FD,4000531.59,56.27
Lawrence Meyer,59,128567,1,High,FD,163820.07,27.42
Joseph May,50,815854,24,High,Stocks,6002863837142044.0,157.7
Gabriel Fletcher,46,872464,9,Moderate,Gold,54027817.31,58.16
David Lewis,44,330012,27,Moderate,Stocks,2549180000984324.0,132.39
Karen Taylor,41,451464,23,Low,Gold,2619481628854.7,96.82
Luis Lee,38,926955,8,Low,Stocks,29430884.34,54.07
Keith Clark,23,931483,13,Moderate,Gold,112368030238.83,145.97
Charles Banks,52,864926,5,High,Equity,9964368.63,63.04
Maria Bass,59,136282,2,Low,Equity,167822.3,10.97
Keith Lambert,35,912883,15,Moderate,Gold,155908827421.64,123.27
Mrs. Jasmin Anderson DVM,37,473757,25,High,Gold,1.259446886545104e+18,214.04
John Gross,46,469684,9,Low,Gold,10756006.87,41.61
Brandon Holt,18,179185,17,Moderate,FD,418641787783.74,136.93
John Lee,54,431907,24,Low,Stocks,12418475404366.83,104.54
Stephen Davis,49,529630,11,Moderate,FD,8576119933.98,141.36
Veronica Mendoza,35,194884,11,Moderate,Stocks,2460358808.48,135.96
Samantha Hamilton,40,553333,12,Moderate,Gold,14086291205.09,132.89
Amy Larson,55,481451,30,Moderate,Equity,1.1565394977314792e+16,121.83
Lauren Wells,36,468756,9,Low,Gold,37407123.48,62.68
Sandra Davis,19,407694,23,Moderate,FD,94624589219137.61,131.06
Ryan Romero,36,534527,6,High,Gold,37705905.1,103.27
Chad Roberts,63,619861,14,Low,Gold,6136079994.95,92.93
Caitlyn Ramirez,58,185826,26,Moderate,Gold,2136321996607396.0,143.75
Rachel Smith,42,851711,23,High,Gold,1463116702585990.0,152.07
Gregory Joyce,64,894721,8,Moderate,Gold,264809490.82,103.66
Michael Gibbs,61,557612,21,Moderate,Equity,59790693870630.52,141.21
Kimberly Moore,62,981582,17,Low,Stocks,137226745924.36,100.76
Cheryl Figueroa,54,750437,1,High,Gold,1179686.96,57.2
Rhonda Park,60,820585,20,High,Gold,8654193997399047.0,217.07
Ernest Lopez,43,822370,18,Moderate,FD,11795899713167.87,149.8
Adrienne Robinson,19,566514,29,Low,Stocks,41342417399957.77,86.7
Antonio Scott,57,454530,8,Low,Stocks,37667005.94,73.7
Theresa Green,29,24629,29,Moderate,Gold,4509299966551172.0,144.55
Katrina Murphy,54,706685,23,Moderate,Stocks,752318555678641.4,146.88
Sarah Choi,38,386338,21,High,FD,1397742428680481.2,185.21
Amber Mcmillan,28,967684,24,Moderate,Stocks,297345571122271.5,125.76
Charles Castro DDS,32,899308,22,High,Stocks,1.6193132941697406e+16,192.52
Dr. Connor Fleming,52,754128,15,Low,Gold,7303071133.07,84.39
Rhonda Dalton,55,65165,15,Low,FD,1411944946.9,94.56
Kathryn Hernandez MD,62,323211,27,Moderate,Stocks,1827485494033292.8,129.72
Zachary Hall,50,966822,11,Low,Gold,969564445.39,87.43
Cheryl Santana,50,340599,11,Moderate,Gold,2481829331.34,124.46
Bryan Reynolds,59,250365,3,Low,FD,492759.24,25.32
Teresa Elliott,57,758092,14,Moderate,Stocks,220502791586.46,145.62
Mr. Richard Holland MD,47,577363,27,Low,Stocks,16490299876046.4,88.86
Elizabeth Francis,46,130334,6,Moderate,Gold,2194854.4,60.1
Edwin Lane,38,932770,3,High,Stocks,1465012.65,16.24
Alyssa Martin,47,326007,10,High,FD,337858843.64,100.24
Timothy King,22,11201,25,High,Gold,8.521850820823469e+16,227.53
Jacqueline Bennett,24,639226,23,High,Gold,2.690172958375885e+16,189.68
Diana Delgado,22,192207,22,Moderate,Stocks,77238967234307.4,146.09
Beth Johnson,64,65287,26,Low,Stocks,999645500195.31,88.95
Rebecca Gilbert,32,589858,3,Low,FD,1067934.98,21.88
Emily Nelson,49,340338,21,High,Stocks,137411030680903.44,156.93
Zachary Parrish,54,102696,2,High,Stocks,207922.88,42.29
Teresa Taylor,64,697740,25,High,Equity,4.322802544559315e+18,224.85
Joseph Hughes,46,536732,16,Moderate,Equity,176838118489.54,121.24
Stephanie Porter,27,482508,6,High,FD,18663577.47,83.9
Jessica Kent,47,744428,28,High,FD,9.956425799269658e+17,171.07
Joseph Harris,60,329487,12,Moderate,FD,13352435514.73,142.09
Donna Walker,39,701747,5,High,Equity,8335456.08,64.04
Albert Pearson,53,127264,15,High,Equity,165629504436.91,155.64
Jack Strickland,21,106676,1,Moderate,Equity,135787.88,27.29
Jesse Clarke,57,176488,10,Low,Stocks,44102512.66,73.69
David Shannon,30,358541,25,Low,FD,16554536580829.23,102.57
Ana Williamson,26,456447,28,Moderate,Equity,4164283021138780.5,126.84
Christopher Cole,61,248005,27,Moderate,Stocks,4011909469730842.0,138.84
Julie Sherman,21,866888,25,High,Gold,3.2704090391268976e+16,164.89
Anna Stevens,25,440856,11,Moderate,Stocks,10214094085.33,149.35
Danielle Deleon,30,405882,8,Moderate,Stocks,84542047.87,94.91
Benjamin Valenzuela,62,498231,26,Low,Stocks,3499178969554.23,83.37
Jennifer Owens,20,540866,3,Low,Gold,821088.37,14.93
William King,33,239029,5,High,Gold,3865261.29,74.48
Richard Ferguson,20,175758,21,Low,Stocks,367817973161.05,99.98
Crystal Jordan,55,585189,15,High,Equity,574839266451.91,150.89
Luis Taylor,40,896994,28,Low,FD,13767854995211.45,80.57
Samantha Phillips,37,709578,12,High,Equity,1424163399632.03,235.13
Brandon Obrien,26,474513,28,Moderate,Equity,1.558766602315634e+16,137.46
Alexis Garcia,58,932000,28,High,FD,4.9403939915356496e+19,209.14
Darius Flores,55,310155,30,Moderate,FD,3.0067814703410736e+16,132.39
Jennifer Wilson,28,320532,4,Moderate,Equity,867163.3,28.25
Frank Williams,60,705496,21,Moderate,Stocks,41494772520016.92,134.41
Mark Sanchez,26,409800,11,Moderate,Stocks,3078065983.09,125.08
Lauren Blake,29,555093,26,Low,Gold,2960906669400.56,81.44
Chloe Gray,36,46432,21,Low,Equity,114752248163.91,101.57
Darlene Knox,50,109782,8,High,Stocks,9965692.47,75.69
Alyssa Boyd,18,608063,7,High,Stocks,43154755.19,83.84
Robert Jones,24,806593,12,High,Equity,1118028679914.64,224.95
Matthew House,61,883675,1,Low,Equity,938816.32,6.24
Keith Brandt,61,552560,14,High,FD,485710910617.82,165.81
Alexander Lee,37,769016,18,Moderate,Gold,1679657377208.89,125.0
Peggy Perez,58,25988,22,High,Gold,101835901550077.62,172.93
John White,45,906194,26,Moderate,Stocks,4556940107470081.0,136.12
Ellen Leblanc,57,382640,13,High,Equity,89577399999.85,158.84
Matthew Thompson,56,516842,17,High,FD,45148319212421.78,193.18
John Lee,60,554534,8,High,Stocks,780025221.84,147.47
Ryan Smith,61,517847,27,High,Stocks,2.5883497799030214e+17,171.2
George Finley,21,751940,15,Low,Stocks,26573462215.64,101.01
Brianna Parker,22,106681,16,Low,FD,5301061962.87,96.57
Christopher Johnson,37,233520,7,Moderate,Stocks,7624731.11,64.54
Alexis Montoya,31,374962,19,Low,FD,289070881360.91,104.1
Audrey Peterson,28,423055,22,High,Stocks,4405958811850485.0,185.33
Kevin Lewis MD,38,792951,13,Low,Gold,2589557364.94,86.34
Douglas Gregory,40,488837,24,Low,FD,1187877433584.15,84.53
Ricky Erickson,38,819024,6,Moderate,Equity,25142012.04,76.95
Steven Howard,59,370728,23,High,Gold,6.052019435598153e+17,239.62
John Marshall,24,751689,30,Moderate,Stocks,3.0243689780509555e+17,143.68
Jennifer Blackwell,27,560671,20,Moderate,Gold,5491585695215.73,123.64
Derrick Estrada,25,161794,21,Moderate,FD,4328697675204.84,125.78
Jesse Jordan,43,350919,9,Low,Gold,22041960.96,58.41
Craig Anderson,34,37948,3,Low,Equity,87577.07,32.15
Alexandra Huynh,41,352030,4,High,Equity,3497554.88,77.54
Keith Mccormick,22,11500,27,Moderate,Stocks,461811783019058.2,147.02
Lisa Taylor,45,938634,11,Moderate,Stocks,8627780135.56,129.25
Christopher Wilson,65,349372,22,High,Stocks,1.3978929616759389e+17,236.8
Kathryn Carr,60,893205,11,High,FD,384503985515.08,225.22
Linda Jacobson,29,424255,17,High,Stocks,17298553088031.89,180.33
Kyle Craig,54,97392,28,Moderate,Equity,8943376679633199.0,146.34
James Mitchell,18,242749,1,Moderate,FD,297221.88,22.44
Sharon Hill,48,347565,18,High,Gold,1239247661914129.2,239.37
Adam Hatfield,54,533236,18,High,Gold,1926629028639629.8,239.62
